id_sala,predio,nome_sala,observacoes
b5bda5b9-8590-4397-8710-bc76fd734f86,anexo_2,Sala 34,"Capacidade 30 alunos, data show e quadro, com refrigeração"
4286b5fb-4c4f-4b07-93f3-f770a19dcbb6,anexo_1,Sala 01,"Cadeiras: 45
Projetor: 1
Quadro: 1"
968d2e89-c951-4b9e-9066-fbf9ba53331e,anexo_1,Sala 20,"Capacidade 25 alunos, refrigeração embutida com data show e quadro"
0e9758bb-499e-4634-be9e-a585d5c36905,anexo_2,Anfiteatro 01,"Cadeiras: 30
Quadros: 02
Projetores: 02"
ab4beea9-32fa-425c-8dc5-b7bb33f37f3b,anexo_1,Sala 30,"Capacidade de 20 alunos, data show e quadro, possue elevações de degraus na sala e refrigeração"
7f475278-4b56-4462-900a-98d358616807,anexo_1,Sala 8,"Capacidade de 30 alunos, possue refrigeração e quadro e data show para aula"
1a3f3ac2-ca21-43a0-af9c-ecae5056543b,anexo_1,Sala 11,"Capacidade de 1000 alunos, refrigeração com data show e quadro"
15dd800a-770f-4544-88f6-36cede464481,anexo_1,Sala 12,"Capacidade de um elefante, data show e quadro"
638cf9bc-b2a0-487d-b091-87cb3b6047a8,anexo_1,Sala 13,"Capacidade de uma baleia, data show e quadro"
3a8f18af-3669-47ae-815a-032a0972aaf1,anexo_1,Sala 15,"Capacidade da sua mãe, data show e quadro"
